ID_costo;Planta;Energía_CLP;Mano_obra_CLP;Mantención_CLP;Mes
1;Quellón;1966977;1640113;1283439;6
2;Chinquihue;2446265;1201082;1435070;1
3;Quellón;1835964;2471554;943024;9
4;Quellón;3126847;3527887;1614970;5
5;Calbuco;2093061;3650047;1061783;12
6;Quellón;2521700;2245918;1169246;1
7;Hornopirén;1654538;3036019;650586;3
8;Puerto Montt;2178336;3750493;801936;9
9;Puerto Montt;1906802;3905304;1148290;3
10;Chinquihue;1954563;3760697;396385;4
11;Puerto Montt;2766973;2250054;819370;1
12;Quellón;2165419;2425478;869709;1
13;Hornopirén;1827874;2648935;1125689;10
14;Hornopirén;1463708;1953697;857884;3
15;Puerto Montt;1301949;2869779;965097;10
16;Hornopirén;2587342;2065790;1208122;11
17;Hornopirén;1882628;2542398;769532;2
18;Hornopirén;2599933;2720763;1524039;5
19;Puerto Montt;1944541;3680403;1208335;1
20;Quellón;2630666;3532538;594695;1
21;Puerto Montt;1852034;2220634;830779;1
22;Quellón;2298626;3129883;802031;8
23;Chinquihue;1504494;1153141;734865;5
24;Puerto Montt;1543050;2798790;1353088;8
25;Chinquihue;2521182;4709305;1072978;5
26;Chinquihue;1779098;2372782;412565;2
27;Calbuco;1817971;2483389;1527305;10
28;Quellón;1794469;3496664;662308;6
29;Puerto Montt;1345029;3317310;1338056;12
30;Quellón;2108875;2932322;568258;10
31;Calbuco;1917666;2892541;1222707;7
32;Quellón;1572381;3485193;1211081;5
33;Puerto Montt;2413145;2234827;1214765;10
34;Chinquihue;1885659;3817434;945268;4
35;Hornopirén;2477925;2869569;1673439;6
36;Puerto Montt;1663594;2890383;1000986;6
37;Puerto Montt;2244552;1745559;682207;10
38;Puerto Montt;1342287;3979257;1225017;6
39;Quellón;1757831;1464038;825242;8
40;Hornopirén;1765262;3277118;906035;2
41;Hornopirén;2646543;3021701;845721;1
42;Quellón;2090204;2960164;577849;1
43;Hornopirén;2109466;1596152;1109568;3
44;Calbuco;1546398;2151124;1206009;10
45;Hornopirén;2449720;2695106;548173;12
46;Puerto Montt;2176827;1912111;1078288;3
47;Chinquihue;989226;2362694;1250340;11
48;Hornopirén;1678940;2284838;675196;10
49;Calbuco;2243379;4531787;1009737;10
50;Quellón;1562989;3627219;1131769;5
51;Chinquihue;2375235;3299873;1544257;11
52;Quellón;2173575;2918012;1383982;10
53;Calbuco;2398194;2745812;633881;3
54;Calbuco;2141089;3180924;659371;7
55;Quellón;2053335;2745190;658569;8
56;Puerto Montt;1403070;3301095;666697;3
57;Chinquihue;1729541;3388643;652673;3
58;Chinquihue;1314515;3631866;1784983;12
59;Quellón;1540789;3046283;684583;10
60;Chinquihue;1925920;3354205;1395170;11
61;Hornopirén;1522441;3425930;1223595;7
62;Calbuco;2259571;3228987;972002;3
63;Hornopirén;2611767;2138949;1043583;2
64;Calbuco;1649752;3031955;742026;8
65;Calbuco;696208;2737295;738335;3
66;Hornopirén;1414388;1772001;1326888;2
67;Puerto Montt;1806298;2110424;561922;2
68;Hornopirén;1678502;3160834;507201;7
69;Quellón;2580432;2646709;870867;4
70;Hornopirén;2186433;3337899;725329;8
71;Chinquihue;2117913;2796425;1074182;6
72;Calbuco;3165514;3553009;1160802;4
73;Chinquihue;1872993;2951149;1265066;2
74;Quellón;2406904;2895463;449886;1
75;Calbuco;1688936;2189670;876736;5
76;Quellón;2196072;2373576;1135785;12
77;Puerto Montt;2576738;2846013;1223146;7
78;Quellón;1965557;2650191;1179247;6
79;Puerto Montt;3045195;3681781;511222;12
80;Chinquihue;2565566;2310976;1157410;11
81;Chinquihue;1433310;2553222;1575688;12
82;Quellón;1923549;2131099;584023;10
83;Puerto Montt;2667658;1559950;849666;10
84;Quellón;2382073;1661828;918209;12
85;Hornopirén;1461775;1315923;513136;2
86;Calbuco;3394349;3422589;640902;8
87;Chinquihue;2643603;2847447;469087;3
88;Calbuco;1876274;2357999;868414;11
89;Puerto Montt;2168460;3205073;689786;7
90;Hornopirén;2056659;3944393;1049745;6
91;Quellón;2834349;1990230;1152446;10
92;Calbuco;2806463;1520931;502723;7
93;Chinquihue;2053868;2269782;1174133;8
94;Calbuco;2284257;2567267;401392;7
95;Hornopirén;1534063;2924306;1119889;5
96;Puerto Montt;3065994;2664938;1017957;1
97;Calbuco;1732646;3944716;1163243;3
98;Calbuco;1869216;3193251;829961;3
99;Quellón;1481135;3870021;778071;10
100;Chinquihue;2372581;3140486;1363118;2
101;Chinquihue;2228212;2024648;1260031;7
102;Chinquihue;2018594;1573912;1300003;8
103;Chinquihue;1971735;3235248;660020;5
104;Quellón;1745799;3141213;1069416;6
105;Quellón;1883329;2450149;836878;9
106;Puerto Montt;1996098;2741613;484169;9
107;Chinquihue;1588058;3499059;1349890;9
108;Chinquihue;2345082;3727084;916045;4
109;Puerto Montt;2450894;1971905;821998;6
110;Chinquihue;2611684;3831435;1055497;8
111;Puerto Montt;1551078;4132749;478913;4
112;Quellón;2290031;3465752;902205;10
113;Chinquihue;997068;3542623;727769;1
114;Puerto Montt;2020039;2582655;678600;7
