ID_inventario;ID_producto;Stock_kg;Ubicacion
1;449;4186;Bodega Norte
2;121;882;Puerto
3;195;3428;Puerto
4;445;2290;Bodega Sur
5;230;1970;Bodega Norte
6;137;6996;Bodega Sur
7;118;2807;Bodega Sur
8;254;1960;Puerto
9;146;3563;Bodega Sur
10;35;2632;Bodega Norte
11;444;5431;Bodega Norte
12;355;6918;Bodega Sur
13;499;8455;Puerto
14;286;9846;Bodega Norte
15;191;7059;Bodega Norte
16;75;7694;Puerto
17;476;1221;Puerto
18;286;3812;Bodega Norte
19;443;1541;Bodega Norte
20;397;4878;Bodega Sur
21;364;9073;Bodega Norte
22;218;8703;Bodega Norte
23;421;8043;Bodega Sur
24;301;3343;Puerto
25;439;4180;Bodega Sur
26;354;1288;Bodega Norte
27;79;6688;Puerto
28;381;8555;Puerto
29;184;6599;Puerto
30;373;5648;Bodega Sur
31;143;1212;Bodega Sur
32;165;1516;Bodega Norte
33;15;171;Puerto
34;76;6721;Bodega Sur
35;113;269;Bodega Norte
36;108;3461;Bodega Sur
37;212;5362;Puerto
38;478;3814;Puerto
39;146;7091;Bodega Norte
40;206;2301;Bodega Sur
41;54;5557;Bodega Sur
42;480;2462;Puerto
43;30;6995;Bodega Sur
44;5;3242;Puerto
45;390;8584;Puerto
46;81;9214;Bodega Sur
47;459;222;Puerto
48;427;564;Bodega Sur
49;433;5642;Bodega Sur
50;149;9172;Puerto
51;265;8097;Bodega Sur
52;377;7897;Bodega Norte
53;79;4536;Bodega Sur
54;106;5179;Puerto
55;63;6654;Bodega Sur
56;169;2090;Bodega Sur
57;263;7583;Bodega Sur
58;476;6312;Puerto
59;323;5640;Puerto
60;11;8658;Bodega Sur
61;167;3477;Bodega Norte
62;291;792;Bodega Norte
63;27;8586;Puerto
64;414;1129;Bodega Sur
65;280;8011;Bodega Sur
66;250;6796;Bodega Sur
67;467;7577;Bodega Sur
68;473;3458;Bodega Sur
69;492;6388;Bodega Sur
70;122;132;Bodega Sur
71;404;3075;Bodega Norte
72;383;5183;Puerto
73;213;5527;Puerto
74;128;5604;Puerto
75;121;7955;Bodega Norte
76;101;8251;Bodega Norte
77;121;3570;Puerto
78;321;5278;Bodega Sur
79;485;4172;Bodega Sur
80;48;6977;Puerto
81;389;4013;Bodega Sur
82;238;9003;Bodega Sur
83;336;8950;Puerto
84;150;4462;Bodega Sur
85;186;9454;Bodega Norte
86;208;4637;Bodega Norte
87;117;2657;Bodega Sur
88;54;6735;Bodega Sur
89;372;9673;Puerto
90;454;5930;Puerto
91;400;9915;Bodega Norte
92;385;7152;Bodega Sur
93;120;564;Bodega Sur
94;409;9009;Bodega Norte
95;414;1894;Bodega Sur
96;377;8412;Bodega Sur
97;358;2725;Bodega Norte
98;414;8354;Puerto
99;179;8232;Puerto
100;11;1596;Bodega Norte
101;164;2893;Puerto
102;35;8889;Bodega Norte
103;285;8088;Puerto
104;492;6350;Puerto
105;440;1880;Puerto
106;303;6173;Bodega Sur
107;376;2322;Bodega Norte
108;345;6984;Bodega Sur
109;417;8199;Bodega Norte
110;411;9088;Bodega Norte
111;399;8580;Puerto
112;265;4421;Bodega Norte
113;244;452;Puerto
114;390;6957;Puerto
115;43;168;Bodega Sur
116;15;753;Bodega Sur
117;310;7040;Puerto
118;193;5301;Bodega Norte
119;434;8701;Puerto
120;209;8901;Puerto
121;453;8972;Bodega Norte
122;433;662;Bodega Sur
123;127;1379;Puerto
124;346;3453;Bodega Norte
125;218;292;Bodega Norte
126;165;5581;Puerto
127;114;7497;Bodega Norte
128;375;9916;Bodega Sur
129;241;4747;Puerto
130;10;3120;Bodega Norte
131;40;5687;Bodega Sur
132;106;2785;Puerto
133;347;2988;Bodega Sur
134;353;8927;Bodega Norte
135;394;3753;Puerto
136;31;3765;Bodega Sur
137;144;5388;Puerto
138;111;5006;Puerto
139;318;819;Bodega Sur
140;433;8238;Bodega Sur
141;492;956;Bodega Sur
142;73;3679;Puerto
143;491;7615;Puerto
144;366;8286;Puerto
145;86;1789;Puerto
146;208;9416;Puerto
147;335;2797;Bodega Sur
148;302;8979;Puerto
149;146;7301;Bodega Sur
150;404;3156;Bodega Sur
151;397;5706;Bodega Norte
152;120;6928;Bodega Norte
153;64;6906;Puerto
154;213;9859;Bodega Sur
155;95;112;Puerto
156;379;2712;Bodega Norte
157;20;6980;Puerto
158;80;8752;Bodega Sur
159;106;6131;Puerto
160;158;3892;Bodega Norte
161;301;3130;Bodega Sur
162;431;8914;Bodega Norte
163;114;6753;Puerto
164;149;5719;Bodega Norte
165;374;7556;Bodega Sur
166;297;5327;Bodega Sur
167;218;4372;Bodega Norte
168;230;9549;Bodega Norte
169;199;2437;Bodega Sur
170;467;4772;Bodega Norte
171;25;1961;Bodega Sur
172;247;3703;Bodega Norte
173;133;8829;Bodega Sur
174;353;1205;Bodega Sur
175;477;2782;Puerto
176;45;9968;Bodega Norte
177;460;9024;Bodega Sur
178;335;4936;Puerto
179;55;7719;Bodega Norte
180;198;4216;Bodega Norte
181;500;7083;Bodega Sur
182;360;3710;Bodega Sur
183;160;662;Bodega Sur
184;146;7210;Bodega Sur
185;479;9421;Bodega Norte
186;16;1094;Puerto
187;391;17;Bodega Sur
188;279;9394;Puerto
189;451;9637;Bodega Norte
190;465;6259;Bodega Norte
191;310;2066;Bodega Norte
192;267;7335;Bodega Sur
193;421;487;Puerto
194;121;2196;Bodega Sur
195;435;2470;Bodega Norte
196;14;118;Puerto
197;453;4413;Puerto
198;345;9129;Bodega Norte
199;135;1682;Puerto
200;302;3356;Bodega Norte
201;395;9577;Bodega Norte
202;417;5419;Bodega Sur
203;192;3493;Puerto
204;197;8564;Bodega Norte
205;18;5316;Puerto
206;270;8230;Bodega Norte
207;457;1354;Bodega Sur
208;430;528;Bodega Sur
209;101;2279;Bodega Sur
210;151;403;Bodega Norte
211;381;6514;Puerto
212;7;3672;Puerto
213;475;2374;Bodega Norte
214;344;1098;Bodega Sur
215;358;8065;Bodega Norte
216;102;5719;Puerto
217;365;602;Bodega Sur
218;84;8937;Puerto
219;18;8936;Bodega Sur
220;148;3708;Bodega Norte
221;138;2236;Bodega Norte
222;59;8790;Bodega Sur
223;484;7761;Puerto
224;108;8411;Bodega Norte
225;101;6928;Puerto
226;357;3567;Puerto
227;265;5883;Bodega Sur
228;481;5719;Bodega Sur
229;280;6305;Bodega Sur
230;65;1065;Puerto
231;342;1478;Puerto
232;177;2464;Bodega Norte
233;302;6819;Puerto
234;402;62;Puerto
235;162;8791;Puerto
236;461;7080;Bodega Norte
237;420;6689;Bodega Norte
238;214;8207;Bodega Sur
239;264;4506;Bodega Sur
240;75;669;Bodega Sur
241;452;6135;Puerto
242;7;4240;Bodega Sur
243;189;1594;Bodega Norte
244;137;464;Puerto
245;469;2074;Bodega Norte
246;248;6005;Bodega Sur
247;53;5253;Bodega Sur
248;158;9595;Bodega Sur
249;483;4866;Bodega Sur
250;234;1447;Bodega Norte
251;47;2126;Puerto
252;478;2019;Puerto
253;276;9945;Bodega Sur
254;110;6099;Puerto
255;61;673;Bodega Norte
256;125;3182;Bodega Sur
257;440;5875;Bodega Norte
258;418;8980;Bodega Sur
259;242;4143;Bodega Sur
260;193;9694;Puerto
261;235;9612;Bodega Sur
262;17;4363;Bodega Norte
263;294;9715;Bodega Sur
264;20;5267;Bodega Sur
265;202;3410;Bodega Norte
266;440;8181;Bodega Sur
267;398;580;Bodega Sur
268;108;5886;Bodega Norte
269;495;6810;Bodega Sur
270;205;5374;Bodega Norte
271;344;8499;Bodega Sur
272;272;9668;Bodega Norte
273;80;8816;Bodega Norte
274;465;5969;Bodega Norte
275;316;4849;Puerto
276;472;8167;Puerto
277;31;593;Bodega Sur
278;90;6726;Puerto
279;249;4478;Bodega Sur
280;163;3147;Puerto
281;66;9322;Bodega Norte
282;471;6215;Bodega Sur
283;200;7651;Bodega Sur
284;397;3897;Bodega Norte
285;411;1301;Bodega Norte
286;438;6082;Puerto
287;59;6487;Bodega Norte
288;227;920;Bodega Sur
289;234;5885;Bodega Sur
290;2;6689;Bodega Norte
291;411;9525;Bodega Sur
292;31;5326;Bodega Norte
293;105;9450;Bodega Norte
294;264;8010;Bodega Norte
295;19;8559;Bodega Norte
296;320;1235;Bodega Sur
297;54;6230;Bodega Sur
298;290;4990;Puerto
299;82;1592;Puerto
300;98;9456;Bodega Norte
301;85;1634;Bodega Norte
302;245;783;Puerto
303;384;3811;Puerto
304;450;4246;Puerto
305;253;1219;Bodega Sur
306;206;1073;Puerto
307;105;5446;Bodega Norte
308;282;2559;Bodega Sur
309;208;6784;Bodega Sur
310;23;1173;Bodega Sur
311;209;2127;Puerto
312;153;1013;Bodega Sur
313;197;1063;Puerto
314;255;3905;Bodega Sur
315;368;7761;Bodega Sur
316;313;7408;Bodega Sur
317;216;8213;Bodega Norte
318;78;5973;Bodega Sur
319;307;7198;Bodega Sur
320;310;8297;Bodega Sur
321;440;6932;Bodega Norte
322;238;6482;Bodega Norte
323;81;1872;Bodega Sur
324;142;1765;Puerto
325;314;5025;Puerto
326;100;2919;Puerto
327;170;9792;Puerto
328;99;1851;Bodega Norte
329;91;8605;Bodega Sur
330;351;6129;Bodega Sur
331;178;3999;Bodega Norte
332;390;7859;Bodega Norte
333;427;2892;Bodega Norte
334;431;9290;Puerto
335;66;8553;Puerto
336;176;5177;Bodega Sur
337;183;4712;Bodega Sur
338;403;2394;Bodega Norte
339;478;7015;Bodega Sur
340;27;7485;Bodega Sur
341;435;5063;Bodega Norte
342;133;8847;Bodega Sur
343;53;9225;Bodega Norte
344;472;2507;Bodega Sur
345;495;8163;Bodega Sur
346;231;4261;Puerto
347;26;9177;Bodega Sur
348;239;1707;Bodega Norte
349;405;9232;Puerto
350;405;4316;Bodega Norte
351;165;8190;Bodega Sur
352;53;8590;Bodega Sur
353;153;7507;Bodega Norte
354;136;4937;Bodega Sur
355;281;6216;Bodega Sur
356;153;3964;Bodega Sur
357;340;7064;Bodega Sur
358;243;3395;Bodega Norte
359;130;6202;Puerto
360;82;7556;Bodega Sur
361;467;850;Bodega Sur
362;244;3194;Puerto
363;416;995;Bodega Sur
364;73;9071;Bodega Sur
365;109;4378;Bodega Sur
366;223;5919;Puerto
367;143;1356;Puerto
368;172;724;Bodega Sur
369;423;3853;Puerto
370;357;1604;Bodega Norte
371;225;633;Puerto
372;339;1678;Bodega Norte
373;193;6772;Bodega Sur
374;235;2667;Bodega Norte
375;204;244;Puerto
376;385;4217;Puerto
377;183;1503;Bodega Norte
378;367;8261;Bodega Norte
379;182;2596;Puerto
380;308;4945;Puerto
381;130;3941;Bodega Norte
382;264;2473;Bodega Norte
383;352;6923;Bodega Sur
384;342;1910;Bodega Sur
385;258;3040;Bodega Norte
386;18;3686;Bodega Sur
387;5;611;Bodega Sur
388;443;4130;Bodega Sur
389;423;8409;Bodega Norte
390;86;3696;Bodega Norte
391;219;9050;Bodega Norte
392;178;1160;Bodega Sur
393;371;8099;Bodega Sur
394;84;3676;Bodega Norte
395;340;6890;Puerto
396;254;628;Puerto
397;462;1122;Puerto
398;184;1433;Bodega Norte
399;453;5143;Bodega Norte
400;147;3795;Puerto
401;308;3392;Bodega Norte
402;100;400;Puerto
403;126;8994;Puerto
404;259;683;Bodega Norte
405;277;9548;Bodega Norte
406;368;3061;Puerto
407;391;392;Puerto
408;408;2671;Bodega Norte
409;174;4446;Puerto
410;474;2471;Bodega Norte
411;60;980;Bodega Sur
412;348;4488;Bodega Sur
413;366;7687;Bodega Sur
414;35;2571;Bodega Sur
415;461;9633;Puerto
416;297;5627;Puerto
417;56;9643;Puerto
418;250;7429;Bodega Norte
419;422;7785;Bodega Norte
420;246;309;Bodega Norte
421;86;8192;Bodega Norte
422;339;4404;Bodega Norte
423;372;3614;Bodega Sur
424;478;4187;Bodega Norte
425;176;5554;Puerto
426;228;3290;Bodega Norte
427;291;6490;Puerto
428;70;7544;Bodega Sur
429;99;3590;Bodega Sur
430;207;790;Bodega Sur
431;201;1872;Bodega Sur
432;300;5841;Puerto
433;244;6485;Bodega Norte
434;449;2078;Puerto
435;461;5316;Bodega Norte
436;97;7471;Puerto
437;441;1391;Bodega Sur
438;234;3485;Bodega Sur
439;212;8336;Puerto
440;45;7688;Puerto
441;331;5594;Bodega Sur
442;50;7444;Bodega Sur
443;422;9847;Puerto
444;475;2081;Puerto
445;219;8769;Bodega Norte
446;22;3172;Bodega Sur
447;78;6562;Puerto
448;327;22;Bodega Sur
449;9;5099;Bodega Norte
450;343;1632;Puerto
451;298;2855;Bodega Norte
452;343;7120;Puerto
453;20;9193;Puerto
454;229;6792;Puerto
455;499;8627;Bodega Norte
456;352;348;Bodega Norte
457;334;726;Bodega Norte
458;217;4057;Puerto
459;328;4881;Bodega Sur
460;228;3556;Bodega Sur
461;324;9208;Bodega Sur
462;51;4207;Bodega Norte
463;250;3993;Puerto
464;292;5701;Bodega Norte
465;426;5653;Bodega Sur
466;175;9513;Bodega Sur
467;24;6982;Puerto
468;112;5538;Bodega Norte
469;243;8779;Puerto
470;429;185;Bodega Sur
471;73;3972;Puerto
472;22;7835;Bodega Norte
473;114;3137;Bodega Norte
474;133;5880;Bodega Sur
475;383;521;Bodega Norte
476;154;6467;Puerto
477;432;2572;Bodega Norte
478;9;6209;Bodega Norte
479;121;3989;Bodega Norte
480;63;372;Bodega Sur
481;296;4007;Puerto
482;155;7970;Puerto
483;356;99;Puerto
484;266;3131;Puerto
485;378;6690;Bodega Sur
486;176;4816;Puerto
487;381;1424;Puerto
488;189;7283;Bodega Norte
489;493;6304;Puerto
490;62;5298;Bodega Norte
491;333;6715;Puerto
492;395;612;Bodega Norte
493;127;4003;Bodega Norte
494;30;2792;Bodega Sur
495;436;5650;Bodega Sur
496;190;4600;Puerto
497;444;2062;Bodega Sur
498;95;30;Bodega Norte
499;2;1498;Puerto
500;71;8959;Bodega Norte
501;145;3355;Bodega Sur
502;5;5482;Bodega Norte
503;244;7295;Puerto
504;156;9888;Puerto
505;107;7122;Bodega Sur
506;40;9796;Bodega Norte
507;307;9574;Bodega Sur
508;217;623;Puerto
509;94;5321;Bodega Sur
510;409;3266;Bodega Norte
511;348;8166;Puerto
512;66;5013;Bodega Sur
513;233;703;Bodega Sur
514;238;9102;Bodega Sur
515;206;5280;Bodega Norte
516;404;2138;Bodega Sur
517;87;4182;Bodega Norte
518;86;3891;Puerto
519;73;5072;Bodega Norte
520;126;5938;Puerto
521;458;3439;Bodega Sur
522;429;3498;Bodega Sur
523;187;2520;Bodega Norte
524;334;3734;Bodega Norte
525;138;7542;Bodega Norte
526;103;9048;Bodega Norte
527;70;4256;Bodega Sur
528;106;216;Bodega Sur
529;303;8848;Bodega Norte
530;294;8774;Bodega Sur
531;273;6551;Puerto
532;112;7913;Puerto
533;245;3027;Bodega Norte
534;382;6688;Puerto
535;472;7199;Bodega Sur
536;303;1412;Bodega Norte
537;361;3689;Bodega Norte
538;427;8922;Bodega Norte
539;48;7933;Bodega Sur
540;147;6818;Bodega Norte
541;161;4563;Puerto
542;55;271;Bodega Norte
543;14;7548;Bodega Sur
544;410;6455;Bodega Norte
545;171;4914;Bodega Norte
546;203;3760;Bodega Sur
547;218;2887;Bodega Sur
548;119;681;Bodega Norte
549;257;8972;Puerto
550;303;6912;Puerto
551;117;927;Puerto
552;267;4504;Bodega Sur
553;130;9603;Bodega Norte
554;249;5161;Bodega Sur
555;322;4582;Bodega Sur
556;27;4111;Puerto
557;491;5307;Puerto
558;440;1622;Puerto
559;40;5811;Puerto
560;349;7272;Bodega Norte
561;250;1363;Puerto
562;74;4595;Bodega Sur
563;205;9953;Bodega Sur
564;104;4492;Bodega Norte
565;245;8754;Bodega Norte
566;89;9195;Puerto
567;244;3578;Bodega Norte
568;251;1984;Bodega Norte
569;248;6112;Bodega Sur
570;380;4439;Bodega Sur
571;487;8482;Bodega Sur
572;114;3197;Bodega Norte
573;413;5194;Bodega Sur
574;214;6331;Puerto
575;83;1399;Bodega Sur
576;333;5738;Puerto
577;122;6259;Puerto
578;336;1031;Bodega Norte
579;447;3381;Bodega Norte
580;21;2537;Bodega Norte
581;55;1358;Bodega Sur
582;172;2560;Puerto
583;25;5314;Bodega Norte
584;44;780;Bodega Sur
585;42;6876;Bodega Norte
586;191;3409;Puerto
587;475;5651;Puerto
588;172;2917;Bodega Sur
589;27;6346;Bodega Norte
590;188;9800;Bodega Norte
591;485;6782;Bodega Norte
592;4;3579;Bodega Norte
593;313;3696;Bodega Sur
594;290;4373;Bodega Norte
595;147;6736;Bodega Sur
596;493;9429;Bodega Sur
