ID_produccion;ID_producto;Planta;ID_empleado;Kilos_producidos;Fecha
1;245;Chinquihue;168;689;2021-01-01 00:00:00
2;475;Hornopirén;731;1018;2021-01-01 01:00:00
3;200;Hornopirén;2109;1067;2021-01-01 02:00:00
4;56;Chinquihue;1307;834;2021-01-01 03:00:00
5;271;Hornopirén;2812;772;2021-01-01 04:00:00
6;301;Chinquihue;2094;1391;2021-01-01 05:00:00
7;211;Hornopirén;644;1228;2021-01-01 06:00:00
8;225;Puerto Montt;2156;1092;2021-01-01 07:00:00
9;102;Quellón;493;865;2021-01-01 08:00:00
10;182;Quellón;227;1014;2021-01-01 09:00:00
11;439;Calbuco;788;1066;2021-01-01 10:00:00
12;24;Quellón;2809;1028;2021-01-01 11:00:00
13;208;Calbuco;2230;1168;2021-01-01 12:00:00
14;344;Puerto Montt;2749;667;2021-01-01 13:00:00
15;393;Calbuco;320;1293;2021-01-01 14:00:00
16;305;Calbuco;654;1205;2021-01-01 15:00:00
17;38;Quellón;2601;844;2021-01-01 16:00:00
18;73;Hornopirén;428;1424;2021-01-01 17:00:00
19;81;Quellón;553;906;2021-01-01 18:00:00
20;394;Quellón;228;996;2021-01-01 19:00:00
21;46;Hornopirén;1905;1336;2021-01-01 20:00:00
22;22;Hornopirén;2569;680;2021-01-01 21:00:00
23;439;Calbuco;248;1467;2021-01-01 22:00:00
24;411;Chinquihue;1118;981;2021-01-01 23:00:00
25;405;Chinquihue;2514;837;2021-01-02 00:00:00
26;148;Calbuco;2408;806;2021-01-02 01:00:00
27;486;Quellón;647;880;2021-01-02 02:00:00
28;411;Calbuco;1822;817;2021-01-02 03:00:00
29;205;Quellón;2454;949;2021-01-02 04:00:00
30;356;Calbuco;893;1215;2021-01-02 05:00:00
31;447;Quellón;1765;1095;2021-01-02 06:00:00
32;425;Hornopirén;1914;889;2021-01-02 07:00:00
33;486;Chinquihue;24;1197;2021-01-02 08:00:00
34;92;Hornopirén;1916;725;2021-01-02 09:00:00
35;415;Chinquihue;1818;1350;2021-01-02 10:00:00
36;151;Puerto Montt;928;1239;2021-01-02 11:00:00
37;17;Calbuco;1925;938;2021-01-02 12:00:00
38;245;Calbuco;2772;1566;2021-01-02 13:00:00
39;194;Hornopirén;2801;791;2021-01-02 14:00:00
40;60;Calbuco;2136;993;2021-01-02 15:00:00
41;374;Hornopirén;2776;1139;2021-01-02 16:00:00
42;253;Quellón;2687;654;2021-01-02 17:00:00
43;5;Hornopirén;502;1075;2021-01-02 18:00:00
44;231;Puerto Montt;1913;1514;2021-01-02 19:00:00
45;200;Chinquihue;2630;1493;2021-01-02 20:00:00
46;12;Quellón;2916;925;2021-01-02 21:00:00
47;345;Quellón;2071;1054;2021-01-02 22:00:00
48;367;Calbuco;2448;984;2021-01-02 23:00:00
49;143;Puerto Montt;2398;908;2021-01-03 00:00:00
50;238;Quellón;1412;1222;2021-01-03 01:00:00
51;431;Chinquihue;2119;1292;2021-01-03 02:00:00
52;381;Calbuco;135;719;2021-01-03 03:00:00
53;242;Hornopirén;85;1357;2021-01-03 04:00:00
54;152;Puerto Montt;309;702;2021-01-03 05:00:00
55;175;Puerto Montt;2884;691;2021-01-03 06:00:00
56;127;Puerto Montt;1628;1476;2021-01-03 07:00:00
57;419;Chinquihue;1231;456;2021-01-03 08:00:00
58;430;Chinquihue;1500;879;2021-01-03 09:00:00
59;334;Quellón;2942;1357;2021-01-03 10:00:00
60;183;Hornopirén;2987;880;2021-01-03 11:00:00
61;447;Hornopirén;2897;1204;2021-01-03 12:00:00
62;38;Chinquihue;1602;797;2021-01-03 13:00:00
63;228;Calbuco;1319;535;2021-01-03 14:00:00
64;8;Puerto Montt;1945;1109;2021-01-03 15:00:00
65;167;Puerto Montt;1274;806;2021-01-03 16:00:00
66;297;Hornopirén;193;833;2021-01-03 17:00:00
67;309;Hornopirén;1761;1007;2021-01-03 18:00:00
68;328;Calbuco;375;1141;2021-01-03 19:00:00
69;452;Hornopirén;2883;541;2021-01-03 20:00:00
70;384;Quellón;1713;1043;2021-01-03 21:00:00
71;105;Quellón;243;1223;2021-01-03 22:00:00
72;234;Calbuco;2435;990;2021-01-03 23:00:00
73;2;Puerto Montt;2401;-875;2021-01-04 00:00:00
74;140;Quellón;1742;1103;2021-01-04 01:00:00
75;240;Chinquihue;2544;497;2021-01-04 02:00:00
76;11;Quellón;1060;1011;2021-01-04 03:00:00
77;189;Hornopirén;2005;964;2021-01-04 04:00:00
78;225;Hornopirén;1229;836;2021-01-04 05:00:00
79;230;Calbuco;1726;1082;2021-01-04 06:00:00
80;440;Puerto Montt;623;1565;2021-01-04 07:00:00
81;128;Chinquihue;985;1346;2021-01-04 08:00:00
82;437;Calbuco;1219;1211;2021-01-04 09:00:00
83;231;Chinquihue;1148;1475;2021-01-04 10:00:00
84;442;Chinquihue;643;798;2021-01-04 11:00:00
85;39;Puerto Montt;2215;906;2021-01-04 12:00:00
86;3;Chinquihue;1523;1114;2021-01-04 13:00:00
87;494;Quellón;2309;669;2021-01-04 14:00:00
88;199;Quellón;2393;1252;2021-01-04 15:00:00
89;360;Calbuco;2869;814;2021-01-04 16:00:00
90;311;Puerto Montt;2360;657;2021-01-04 17:00:00
91;200;Calbuco;2664;1091;2021-01-04 18:00:00
92;136;Quellón;2690;1083;2021-01-04 19:00:00
93;465;Chinquihue;2466;914;2021-01-04 20:00:00
94;417;Puerto Montt;187;1248;2021-01-04 21:00:00
95;483;Hornopirén;219;1045;2021-01-04 22:00:00
96;317;Chinquihue;357;1090;2021-01-04 23:00:00
97;287;Quellón;2005;1568;2021-01-05 00:00:00
98;139;Puerto Montt;2280;832;2021-01-05 01:00:00
99;369;Chinquihue;182;822;2021-01-05 02:00:00
100;473;Chinquihue;1358;661;2021-01-05 03:00:00
101;311;Chinquihue;2616;1063;2021-01-05 04:00:00
102;125;Quellón;2697;993;2021-01-05 05:00:00
103;379;Calbuco;604;1277;2021-01-05 06:00:00
104;259;Calbuco;2752;968;2021-01-05 07:00:00
105;423;Hornopirén;2104;730;2021-01-05 08:00:00
106;243;Chinquihue;881;1134;2021-01-05 09:00:00
107;70;Chinquihue;96;1098;2021-01-05 10:00:00
108;216;Chinquihue;2934;867;2021-01-05 11:00:00
109;433;Chinquihue;2278;946;2021-01-05 12:00:00
110;194;Quellón;31;1027;2021-01-05 13:00:00
111;40;Quellón;1302;1106;2021-01-05 14:00:00
112;15;Quellón;2046;1302;2021-01-05 15:00:00
113;303;Calbuco;375;874;2021-01-05 16:00:00
114;500;Calbuco;1112;1073;2021-01-05 17:00:00
115;100;Calbuco;1238;1230;2021-01-05 18:00:00
116;431;Chinquihue;2840;943;2021-01-05 19:00:00
117;442;Hornopirén;924;728;2021-01-05 20:00:00
118;259;Calbuco;2116;743;2021-01-05 21:00:00
119;219;Puerto Montt;2633;1012;2021-01-05 22:00:00
120;241;Puerto Montt;2603;1071;2021-01-05 23:00:00
121;133;Calbuco;1520;1451;2021-01-06 00:00:00
122;402;Quellón;763;955;2021-01-06 01:00:00
123;388;Hornopirén;1757;1001;2021-01-06 02:00:00
124;473;Puerto Montt;2847;883;2021-01-06 03:00:00
125;31;Calbuco;2933;990;2021-01-06 04:00:00
126;153;Chinquihue;1461;1002;2021-01-06 05:00:00
127;366;Chinquihue;1965;867;2021-01-06 06:00:00
128;428;Calbuco;762;1046;2021-01-06 07:00:00
129;42;Quellón;1037;776;2021-01-06 08:00:00
130;102;Quellón;2591;1011;2021-01-06 09:00:00
131;139;Quellón;2276;990;2021-01-06 10:00:00
132;457;Puerto Montt;1450;965;2021-01-06 11:00:00
133;118;Calbuco;1476;911;2021-01-06 12:00:00
134;164;Quellón;1829;1121;2021-01-06 13:00:00
135;426;Puerto Montt;2922;413;2021-01-06 14:00:00
136;174;Quellón;62;1271;2021-01-06 15:00:00
137;481;Puerto Montt;2770;499;2021-01-06 16:00:00
138;194;Chinquihue;859;585;2021-01-06 17:00:00
139;217;Hornopirén;1428;1280;2021-01-06 18:00:00
140;272;Hornopirén;1848;1004;2021-01-06 19:00:00
141;471;Chinquihue;2911;734;2021-01-06 20:00:00
142;143;Quellón;1937;561;2021-01-06 21:00:00
143;219;Quellón;2309;709;2021-01-06 22:00:00
144;481;Puerto Montt;2145;1049;2021-01-06 23:00:00
145;252;Chinquihue;603;1236;2021-01-07 00:00:00
146;312;Chinquihue;1358;1065;2021-01-07 01:00:00
147;129;Chinquihue;1237;963;2021-01-07 02:00:00
148;298;Puerto Montt;1319;1058;2021-01-07 03:00:00
149;106;Hornopirén;1950;1179;2021-01-07 04:00:00
150;463;Puerto Montt;1019;922;2021-01-07 05:00:00
151;143;Hornopirén;738;1027;2021-01-07 06:00:00
152;139;Puerto Montt;2928;1281;2021-01-07 07:00:00
153;143;Calbuco;51;1038;2021-01-07 08:00:00
154;333;Puerto Montt;329;972;2021-01-07 09:00:00
155;324;Chinquihue;2681;788;2021-01-07 10:00:00
156;428;Puerto Montt;369;770;2021-01-07 11:00:00
157;363;Calbuco;2245;953;2021-01-07 12:00:00
158;312;Quellón;2892;1294;2021-01-07 13:00:00
159;19;Chinquihue;2978;947;2021-01-07 14:00:00
