ID_venta;ID_cliente;ID_producto;Cantidad;Precio_total_CLP;Fecha_venta
1;1036;346;41;893826.0;2021-01-01 00:00:00
2;1436;339;274;785911.0;2021-01-01 01:00:00
3;24;470;476;71181.0;2021-01-01 02:00:00
4;1377;498;263;379703.0;2021-01-01 03:00:00
5;1968;477;172;705983.0;2021-01-01 04:00:00
6;1432;256;25;402274.0;2021-01-01 05:00:00
7;1645;386;278;38359.0;2021-01-01 06:00:00
8;1824;346;233;960261.0;2021-01-01 07:00:00
9;326;482;442;100835.0;2021-01-01 08:00:00
10;1719;277;120;450419.0;2021-01-01 09:00:00
11;814;78;306;846383.0;2021-01-01 10:00:00
12;1356;247;486;364961.0;2021-01-01 11:00:00
13;1739;55;346;754166.0;2021-01-01 12:00:00
14;1115;383;188;617134.0;2021-01-01 13:00:00
15;347;373;144;182342.0;2021-01-01 14:00:00
16;837;397;162;429991.0;2021-01-01 15:00:00
17;1003;93;255;914754.0;2021-01-01 16:00:00
18;1620;471;434;373473.0;2021-01-01 17:00:00
19;1476;78;191;51728.0;2021-01-01 18:00:00
20;1097;474;476;772400.0;2021-01-01 19:00:00
21;1030;201;227;30652.0;2021-01-01 20:00:00
22;531;418;23;753252.0;2021-01-01 21:00:00
23;559;67;190;189209.0;2021-01-01 22:00:00
24;1406;191;189;21985.0;2021-01-01 23:00:00
25;1785;139;287;264099.0;2021-01-02 00:00:00
26;347;108;389;860883.0;2021-01-02 01:00:00
27;337;205;336;998717.0;2021-01-02 02:00:00
28;1779;70;124;863966.0;2021-01-02 03:00:00
29;252;424;449;226785.0;2021-01-02 04:00:00
30;358;406;248;506843.0;2021-01-02 05:00:00
31;438;334;291;778702.0;2021-01-02 06:00:00
32;473;240;483;954635.0;2021-01-02 07:00:00
33;1;486;459;800903.0;2021-01-02 08:00:00
34;252;86;389;396371.0;2021-01-02 09:00:00
35;1324;138;361;829471.0;2021-01-02 10:00:00
36;48;31;393;896873.0;2021-01-02 11:00:00
37;751;297;455;739894.0;2021-01-02 12:00:00
38;1811;378;463;261159.0;2021-01-02 13:00:00
39;1235;452;100;150704.0;2021-01-02 14:00:00
40;1405;474;243;319939.0;2021-01-02 15:00:00
41;1934;279;43;476834.0;2021-01-02 16:00:00
42;279;124;358;785403.0;2021-01-02 17:00:00
43;254;471;224;869071.0;2021-01-02 18:00:00
44;1233;179;457;967070.0;2021-01-02 19:00:00
45;782;421;494;269238.0;2021-01-02 20:00:00
46;277;121;462;707075.0;2021-01-02 21:00:00
47;1293;254;452;693337.0;2021-01-02 22:00:00
48;1874;407;448;118055.0;2021-01-02 23:00:00
49;56;160;453;;2021-01-03 00:00:00
50;90;279;415;287413.0;2021-01-03 01:00:00
51;1462;26;377;157625.0;2021-01-03 02:00:00
52;981;432;343;124641.0;2021-01-03 03:00:00
53;386;6;148;673449.0;2021-01-03 04:00:00
54;516;58;385;375108.0;2021-01-03 05:00:00
55;898;368;303;213685.0;2021-01-03 06:00:00
56;253;17;228;684703.0;2021-01-03 07:00:00
57;1082;216;198;362655.0;2021-01-03 08:00:00
58;19;283;3;348525.0;2021-01-03 09:00:00
59;1628;268;172;856787.0;2021-01-03 10:00:00
60;960;287;314;913585.0;2021-01-03 11:00:00
61;1641;132;127;381574.0;2021-01-03 12:00:00
62;1700;380;68;807726.0;2021-01-03 13:00:00
63;1774;224;377;657074.0;2021-01-03 14:00:00
64;51;359;354;190389.0;2021-01-03 15:00:00
65;1246;466;32;312239.0;2021-01-03 16:00:00
66;1411;208;94;386470.0;2021-01-03 17:00:00
67;1191;194;215;721706.0;2021-01-03 18:00:00
68;379;256;402;212340.0;2021-01-03 19:00:00
69;839;500;335;296815.0;2021-01-03 20:00:00
70;455;462;201;682582.0;2021-01-03 21:00:00
71;995;308;471;613427.0;2021-01-03 22:00:00
72;1460;496;79;81973.0;2021-01-03 23:00:00
73;1410;104;350;778334.0;2021-01-04 00:00:00
74;311;48;455;978769.0;2021-01-04 01:00:00
75;1467;238;333;112916.0;2021-01-04 02:00:00
76;48;103;346;98108.0;2021-01-04 03:00:00
77;796;222;274;722635.0;2021-01-04 04:00:00
78;1510;389;154;337830.0;2021-01-04 05:00:00
79;722;78;39;767814.0;2021-01-04 06:00:00
80;777;409;154;745009.0;2021-01-04 07:00:00
81;1203;342;50;588670.0;2021-01-04 08:00:00
82;1421;491;138;466242.0;2021-01-04 09:00:00
83;1601;131;161;78195.0;2021-01-04 10:00:00
84;1755;160;458;726397.0;2021-01-04 11:00:00
85;1574;242;186;556553.0;2021-01-04 12:00:00
86;1770;106;449;419052.0;2021-01-04 13:00:00
87;1494;399;390;455474.0;2021-01-04 14:00:00
88;661;93;71;193045.0;2021-01-04 15:00:00
89;1150;228;412;850146.0;2021-01-04 16:00:00
90;1544;192;206;383805.0;2021-01-04 17:00:00
91;535;355;126;817425.0;2021-01-04 18:00:00
92;98;448;183;590601.0;2021-01-04 19:00:00
93;80;445;19;651848.0;2021-01-04 20:00:00
94;1703;20;267;185379.0;2021-01-04 21:00:00
95;682;308;152;28441.0;2021-01-04 22:00:00
96;87;208;420;783573.0;2021-01-04 23:00:00
97;1767;480;322;38169.0;2021-01-05 00:00:00
98;686;78;388;268332.0;2021-01-05 01:00:00
99;1956;222;243;502548.0;2021-01-05 02:00:00
100;1322;401;280;341610.0;2021-01-05 03:00:00
101;1022;245;63;65365.0;2021-01-05 04:00:00
102;719;252;96;485601.0;2021-01-05 05:00:00
103;1324;480;74;256271.0;2021-01-05 06:00:00
104;1144;366;118;53136.0;2021-01-05 07:00:00
105;1656;332;29;840741.0;2021-01-05 08:00:00
106;161;321;273;771120.0;2021-01-05 09:00:00
107;923;495;158;317578.0;2021-01-05 10:00:00
108;1226;239;86;335908.0;2021-01-05 11:00:00
109;1249;376;140;572721.0;2021-01-05 12:00:00
110;1520;55;154;815231.0;2021-01-05 13:00:00
111;1770;291;90;572722.0;2021-01-05 14:00:00
112;1709;452;141;247020.0;2021-01-05 15:00:00
113;232;317;489;618263.0;2021-01-05 16:00:00
114;508;152;150;848003.0;2021-01-05 17:00:00
115;547;91;347;658267.0;2021-01-05 18:00:00
116;1685;158;457;743759.0;2021-01-05 19:00:00
117;969;122;147;995602.0;2021-01-05 20:00:00
118;1507;365;361;186978.0;2021-01-05 21:00:00
119;1698;497;221;406390.0;2021-01-05 22:00:00
120;1851;487;102;546772.0;2021-01-05 23:00:00
121;595;196;236;366672.0;2021-01-06 00:00:00
122;1732;232;312;757300.0;2021-01-06 01:00:00
123;1886;304;61;74856.0;2021-01-06 02:00:00
124;795;151;16;411735.0;2021-01-06 03:00:00
125;1473;457;51;479870.0;2021-01-06 04:00:00
126;896;486;39;409850.0;2021-01-06 05:00:00
127;1740;122;448;47797.0;2021-01-06 06:00:00
128;1724;149;115;555801.0;2021-01-06 07:00:00
129;888;113;240;487885.0;2021-01-06 08:00:00
130;6;45;481;48428.0;2021-01-06 09:00:00
131;804;53;242;982319.0;2021-01-06 10:00:00
132;701;192;152;418893.0;2021-01-06 11:00:00
133;715;427;78;749957.0;2021-01-06 12:00:00
134;320;442;184;985435.0;2021-01-06 13:00:00
135;112;392;447;42969.0;2021-01-06 14:00:00
136;1973;391;72;745428.0;2021-01-06 15:00:00
137;1446;223;6;467323.0;2021-01-06 16:00:00
138;914;432;480;95380.0;2021-01-06 17:00:00
139;1199;84;276;756329.0;2021-01-06 18:00:00
140;918;243;96;718321.0;2021-01-06 19:00:00
141;263;480;67;309441.0;2021-01-06 20:00:00
142;543;418;413;960543.0;2021-01-06 21:00:00
143;1936;189;69;959101.0;2021-01-06 22:00:00
144;796;50;24;914693.0;2021-01-06 23:00:00
145;577;415;375;129342.0;2021-01-07 00:00:00
146;243;228;157;148725.0;2021-01-07 01:00:00
147;102;500;206;888038.0;2021-01-07 02:00:00
148;1518;238;36;568247.0;2021-01-07 03:00:00
149;1228;113;342;83190.0;2021-01-07 04:00:00
150;1872;487;301;641153.0;2021-01-07 05:00:00
151;73;221;138;307554.0;2021-01-07 06:00:00
152;1104;22;38;626005.0;2021-01-07 07:00:00
153;1777;428;342;450574.0;2021-01-07 08:00:00
154;1128;390;281;826227.0;2021-01-07 09:00:00
155;1655;254;182;173391.0;2021-01-07 10:00:00
156;824;65;29;598940.0;2021-01-07 11:00:00
157;430;61;164;881875.0;2021-01-07 12:00:00
158;1974;67;277;737072.0;2021-01-07 13:00:00
159;225;131;298;482863.0;2021-01-07 14:00:00
160;140;177;87;67196.0;2021-01-07 15:00:00
161;1095;13;161;243113.0;2021-01-07 16:00:00
162;619;34;196;744734.0;2021-01-07 17:00:00
163;1254;81;476;523384.0;2021-01-07 18:00:00
164;268;262;226;327219.0;2021-01-07 19:00:00
165;6;280;431;805797.0;2021-01-07 20:00:00
166;1495;17;344;194180.0;2021-01-07 21:00:00
167;1949;386;366;931064.0;2021-01-07 22:00:00
168;1019;37;89;882234.0;2021-01-07 23:00:00
169;1947;455;399;109920.0;2021-01-08 00:00:00
170;345;69;421;204580.0;2021-01-08 01:00:00
171;1280;119;181;756379.0;2021-01-08 02:00:00
172;821;334;332;575892.0;2021-01-08 03:00:00
173;1583;60;9;262369.0;2021-01-08 04:00:00
174;575;101;442;844655.0;2021-01-08 05:00:00
175;576;281;253;291849.0;2021-01-08 06:00:00
176;544;286;219;850018.0;2021-01-08 07:00:00
177;1337;417;271;468108.0;2021-01-08 08:00:00
178;1360;383;399;470598.0;2021-01-08 09:00:00
179;1605;329;389;722267.0;2021-01-08 10:00:00
180;684;63;167;615586.0;2021-01-08 11:00:00
181;689;493;450;742132.0;2021-01-08 12:00:00
182;1609;181;443;480577.0;2021-01-08 13:00:00
183;1157;337;109;720731.0;2021-01-08 14:00:00
184;277;121;34;320628.0;2021-01-08 15:00:00
185;1110;464;339;308867.0;2021-01-08 16:00:00
186;982;340;36;695942.0;2021-01-08 17:00:00
